seed,score,turns,final_regions,final_built_count,final_completed_monuments,turn_complete_arc,turn_complete_senate,turn_complete_pantheon,cnt_top,cnt_conquest,cnt_tribute,cnt_building,cnt_monument,pct_top,pct_conquest,pct_tribute,pct_building,pct_monument,pre_inv1_culture,pre_inv1_military,pre_inv1_industry,pre_inv1_regions,pre_inv2_culture,pre_inv2_military,pre_inv2_industry,pre_inv2_regions,score_group
9100017,16,21,4,2,3,20.0,14.0,10.0,10,3,0,2,6,0.47619047619047616,0.14285714285714285,0.0,0.09523809523809523,0.2857142857142857,3,3,3,2,3,2,3,3,16_plus
9100032,16,21,4,2,3,18.0,,19.0,9,3,0,2,7,0.42857142857142855,0.14285714285714285,0.0,0.09523809523809523,0.3333333333333333,4,5,0,2,3,4,3,3,16_plus
9100050,16,21,4,1,3,20.0,,17.0,10,3,0,1,7,0.47619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.3333333333333333,1,3,0,2,1,2,3,3,16_plus
9100051,16,21,4,3,3,17.0,18.0,20.0,9,3,0,3,6,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,2,9,0,1,3,6,0,3,16_plus
9100063,16,21,4,3,3,20.0,21.0,,8,3,1,3,6,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.2857142857142857,3,6,1,1,0,3,2,3,16_plus
9100064,16,21,4,2,3,20.0,10.0,18.0,9,3,1,2,6,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.2857142857142857,6,4,0,2,4,5,3,3,16_plus
9100081,16,21,4,3,3,20.0,16.0,21.0,7,3,2,3,6,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.2857142857142857,3,3,1,2,4,5,1,3,16_plus
9100086,16,21,4,3,3,17.0,,18.0,9,3,0,3,6,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,6,4,1,1,6,3,0,3,16_plus
9100101,16,21,4,3,2,13.0,,8.0,10,3,1,3,4,0.47619047619047616,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.19047619047619047,2,8,1,1,1,5,0,3,16_plus
9100126,16,21,5,2,3,18.0,15.0,14.0,9,4,0,2,6,0.42857142857142855,0.19047619047619047,0.0,0.09523809523809523,0.2857142857142857,4,6,3,2,3,4,4,3,16_plus
9100160,16,21,4,2,3,21.0,10.0,15.0,9,3,1,2,6,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.2857142857142857,4,0,2,2,5,0,2,3,16_plus
9100172,16,21,4,2,3,17.0,15.0,20.0,9,3,1,2,6,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.2857142857142857,6,6,1,2,2,6,2,3,16_plus
