,action_Conquest,action_TopResource,action_Tribute,mode_bottom,mode_top,action_Build_Building,action_Build_Monument
1,0.019454921491695507,-0.0060252906674930495,-0.029325860695869132,0.0060252906674930495,-0.0060252906674930495,0.0,0.0
2,0.01385146178361995,-0.06510638808009558,-0.05204936912375486,0.06510638808009558,-0.06510638808009558,0.10244916059425825,-0.026442276008302908
3,-0.007622434090291327,-0.008075865478126804,-0.019244724247102368,0.008075865478126804,-0.008075865478126804,0.0182950221542551,0.007171357105149575
4,0.023194499577471554,-0.05735239978166096,-0.023899065345216176,0.057352399781660963,-0.05735239978166096,-0.0030724881477753934,0.0811671289875062
5,0.007113576807019253,-0.04996262422662072,-0.08842583452644878,0.04996262422662086,-0.04996262422662072,-0.012201815858093868,0.12086733777895577
6,0.02298667819588859,-0.05913692813073082,0.007319606389059798,0.05913692813073082,-0.05913692813073082,-0.043451499715216245,0.11007281400618758
7,0.01938713572863389,-0.04154807765046787,-0.036525876641815634,0.04154807765046783,-0.04154807765046787,-0.0412787963633897,0.09647024349669778
8,0.053242054565145545,-0.017138725450854816,-0.027592899188080555,0.017138725450854816,-0.017138725450854816,-0.0821657208704992,0.06545708510376035
9,0.07510113458486666,-0.03827707385211166,0.0018758823795867467,0.03827707385211166,-0.03827707385211166,-0.08417263555278826,0.06206315056625803
10,0.062050777441042086,-0.08510026023214555,-0.004809917232858143,0.08510026023214555,-0.08510026023214555,-0.03087420639589038,0.06730629580010891
11,0.03140527958385755,-0.0978482543054821,0.012087888088231604,0.09784825430548214,-0.0978482543054821,-0.048392952039314374,0.10361419025445356
12,0.0253969099534829,-0.07535204308471541,-0.013642427974364754,0.07535204308471545,-0.07535204308471541,-0.078930255548815,0.10530571865979388
13,0.039851561615576396,-0.08803888248739863,-0.011279568934830448,0.08803888248739863,-0.08803888248739863,-0.09381099331366095,0.10907833264538648
14,0.02785913985441919,-0.020247840387753967,-0.030403453166362036,0.020247840387753967,-0.020247840387753967,-0.10091558849872444,0.06083037253293585
15,0.09876209015417843,-0.040896732821493816,-0.008513675313742466,0.04089673282149378,-0.040896732821493816,-0.0005245404007851942,-0.01877382176378665
16,0.07104531083525856,-0.029686116016672235,0.00031234725530344737,0.029686116016672235,-0.029686116016672235,-0.034417922779418124,0.005363701951949922
17,0.05446441615270683,-0.04394709657898452,-0.024382508145875635,0.04394709657898452,-0.04394709657898452,-0.023173589827441096,0.03206840297241453
18,0.0836850526490258,-0.07344457154212422,-0.006670105891639487,0.07344457154212423,-0.07344457154212422,-0.020645065022115428,0.030122937024240265
19,0.053942743414279175,-0.1302926230925658,-0.007629444388267199,0.1302926230925658,-0.1302926230925658,0.09132295191892206,0.026730654432024856
20,0.050672251453108746,-0.17288312455963267,0.02214817892905134,0.17288312455963267,-0.17288312455963267,0.06206469972510714,0.0798817071084455
21,0.07078678856723762,-0.21726767395316765,0.04091797573810114,0.21726767395316754,-0.21726767395316765,0.15363706051763365,0.0862554221626162
